site,pv_size,wind_size,chp_size,npv,renewable_electricity_annual_kwh,emissions_reduction_annual_ton
1,0.0,0.0,2079.0,3.09e6,0.0,7510.0
2,0.0,0.0,1305.0,6.43e6,0.0,5741.0
3,0.0,1106.0,677.0,3.88e6,3.48020149e6,5779.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,3768.0,1319.0,1.13e7,1.547048798e7,17846.0
